term_id,item_id,query,title,category,brand,true_label,prediction,score,score_type,lexical_overlap
TERM_3c63d25b,ITEM_6f2ae76dd884,kadın büyük beden ceket,büyük beden mono yaka süs cep kapaklı bej rengi astarsız kadın ceket,giyim/büyük beden/büyük beden ceket,by alba collection,0,1,0.9934357899051408,probability,0.3333333333333333
TERM_63a5a3a6,ITEM_0595c2b871b8,grup priz uzatma kablosu,akım korumalı 3’lü grup priz 1 mini led uzatma kablosu 3x usb 3x anahtar 2m kablo 2500w,banyo yapı & hırdavat/elektrik tesisat malzemesi/grup priz uzatma kablosu,megamus,0,1,0.9921313619005057,probability,0.25
TERM_e3867f47,ITEM_dff8b6f39af3,çelik bileklik,taraftar ķişiye özel charm bileklik italyan çelik bileklik 5 adet kişiselleştirilebilir charmli,aksesuar/takı & mücevher/bileklik/çelik bileklik,çelik,0,1,0.9906334212035162,probability,0.18181818181818182
TERM_79d51e6e,ITEM_e96e71f571dc,ray-ban erkek güneş gözlüğü,rb3636 new caravan 002/b1 55 15 135 3n erkek güneş gözlüğü,aksesuar/gözlük/güneş gözlüğü,ray-ban,0,1,0.9889246742000929,probability,0.23076923076923078
TERM_30e3d8ab,ITEM_3cff988c4b39,paşabahçe bardak altlığı,"bambu yuvarlak misket ayaklı yağdanlık, bardak altlığı ve mini sunumluk (1 adet)",ev & mobilya/ev/sofra & mutfak/sofra/bardak altlığı,paşabahçe,0,1,0.9843090692173128,probability,0.15384615384615385
TERM_3c63d25b,ITEM_bff8f06e1f27,kadın büyük beden ceket,kadın kot çift cepli büyük beden ceket,giyim/büyük beden/büyük beden ceket,metpoint,0,1,0.9818970791694296,probability,0.5714285714285714
TERM_38355377,ITEM_858bc70f3476,elde bulaşık deterjanı,sıvı elde bulaşık deterjanı limon 1500ml x 4 adet,süpermarket/ev bakım ve temizlik/bulaşık yıkama/elde bulaşık deterjanı,pril,0,1,0.9795215053699268,probability,0.3333333333333333
TERM_4afd55b5,ITEM_466cd65b86b4,spiderman oyuncak,yarış seti kumandalı pist spiderman arabası set carrera oyuncak araba spider-man örümcek adam aracı,kırtasiye & ofis malzemeleri/kırtasiye/suluk & matara,spiderman,0,1,0.9779254644411475,probability,0.14285714285714285
TERM_bdd2e551,ITEM_61442505273e,fil deri cüzdan,telefon bölmeli -hakiki deri - mıknatıslı - çok bölmeli - cüzdan ve kartlık eskitme deri 2047,aksesuar/çanta/cüzdan,fil deri,0,1,0.9766431292024425,probability,0.15384615384615385
TERM_17ad2232,ITEM_833b07db2f38,özdilek tek kişilik nevresim takımı,lastikli çarşaflı nevresim takımı tek kişilik dream kırık beyaz,ev & mobilya/ev/ev tekstili/yatak odası tekstili/nevresim takımı/tek kişilik nevresim,özdilek,0,1,0.9740090880199145,probability,0.4
TERM_2222720d,ITEM_3ec60805212d,plastik bardak,350 cc kapaklı pipetli plastik bardak 50’li pet bardak limonata soğuk içecek milkshake bardağı,hobi & eğlence/parti malzemeleri/plastik bardak,miopack,0,1,0.9732502253878267,probability,0.15384615384615385
TERM_2222720d,ITEM_8d91ec1612c3,plastik bardak,bardak plastik 500 cc,hobi & eğlence/parti malzemeleri/plastik bardak,rubikap,0,1,0.9729258484782096,probability,0.5
TERM_24ea39b9,ITEM_70595529f0f7,el bilek ateli,örme el bilek ateli - (xxl)-sağ,spor & outdoor/ekipman & aksesuar/el bilek ateli,variteks,0,1,0.9710363657588983,probability,0.5
TERM_24ea39b9,ITEM_0cc7c8c5c5ad,el bilek ateli,309 flexi el bilek ateli,spor & outdoor/ekipman & aksesuar/el bilek ateli,romed,0,1,0.9702556203594858,probability,0.6
TERM_7b1dcfb3,ITEM_93585218b15f,spiderman,ultimate spiderman motosikletli örümcek adam işıklı sesli hareketli,anne & bebek & çocuk/oyuncak/figür oyuncaklar/diğer figür oyuncaklar,spiderman,0,1,0.9695345548464865,probability,0.125
TERM_48423276,ITEM_cdb1eb08b2f8,dündar erkek çorap,dündar plus erkek taban havlu,giyim/iç giyim/çorap,dündar,0,1,0.9690734569695397,probability,0.3333333333333333
TERM_c55d0be9,ITEM_1d33e70a540a,cadran tablo,nostalji araba serisi mdf tablo seti,ev & mobilya/ev/ev dekorasyon/tablo,cadran,0,1,0.9685631200713644,probability,0.14285714285714285
TERM_95c48553,ITEM_d9d77d83d6c5,asics voleybol ayakkabısı,wave lightning neo 3 erkek voleybol ayakkabısı beyaz / turuncu,ayakkabı/spor ayakkabı/voleybol ayakkabısı,asics,0,1,0.9660935695381151,probability,0.2
TERM_a8346de8,ITEM_f7e7ff3594b8,davines saç maskesi,saç peelingi,kozmetik & kişisel bakım/saç bakım/saç maskesi,davines,0,1,0.9638540349603042,probability,0.25
TERM_1964ad94,ITEM_3837535ea02e,kadın mavi işık korumalı gözlük,harmony vision leopar cat eye formlu mavi işık korumalı kadın gözlük popüler şeffaf ekran gözlüğü,aksesuar/gözlük/mavi işık korumalı gözlük,ren eyewear,0,1,0.9616701951295448,probability,0.3333333333333333
TERM_0f4bd94f,ITEM_155bd73b8e35,asics koşu ayakkabısı,1012b516-002 trail scout 3 kadın koşu ayakkabısı,ayakkabı/spor ayakkabı/koşu & antrenman ayakkabısı,asics,0,1,0.9608927715623213,probability,0.25
TERM_7ed52771,ITEM_b08acb854790,matchbox,hnj54 matchbox aksiyon sürücüleri süper oto yıkama oyun seti,anne & bebek & çocuk/oyuncak/oyuncak araçlar/oyuncak araba,matchbox,0,1,0.9598235307430465,probability,0.1111111111111111
TERM_e27b020e,ITEM_af8e96e9f740,bez dolap,geniş hacimli raflı askılı bez dolap gardrop gri,ev & mobilya/mobilya/yatak odası/bez dolap,prado,0,1,0.9585379024387041,probability,0.25
TERM_cc9e3a07,ITEM_4f1d1ffe5ae6,anne yanı park yatak,jaju baby 70x110 çeyiz seti anne yanı asansörlü park beşik bebek arabası ve puset hamak,anne & bebek & çocuk/çocuk gereçleri/park yatak & oyun parkı,maccon,0,1,0.9570760762538758,probability,0.1875
TERM_50d74870,ITEM_45d4d5e2dbfb,tek kişilik uyku seti,tek kişilik wellsoft yorgan uyku seti - lastikli çarşaflı yastık kılıflı tek kişilik uyku seti,ev & mobilya/ev/ev tekstili/yatak odası tekstili/uyku seti/tek kişilik uyku seti,nordqueen,0,1,0.9558250373862025,probability,0.36363636363636365
TERM_48423276,ITEM_07142e37043f,dündar erkek çorap,plus 5541 erkek bambu silikonlu babet çorap 12 adet,giyim/iç giyim/çorap,dündar,0,1,0.9552839964666299,probability,0.2
TERM_17ad2232,ITEM_c6638b0f1eaa,özdilek tek kişilik nevresim takımı,ranforce helecho tek kişilik nevresim takımı,ev & mobilya/ev/ev tekstili/yatak odası tekstili/nevresim takımı/tek kişilik nevresim,özdilek,0,1,0.9551013962834416,probability,0.5714285714285714
TERM_79d51e6e,ITEM_d8a8f278d82b,ray-ban erkek güneş gözlüğü,rayban rb2140 901 50 unisex güneş gözlüğü,aksesuar/gözlük/güneş gözlüğü,ray-ban,0,1,0.9550597762541007,probability,0.2222222222222222
TERM_2da80c60,ITEM_c38ba937bb08,hindistan cevizi kase,island design sedef kaplama hindistan cevizi kase & altlığı - coconut kase - çerezlik - coconut kase,ev & mobilya/ev/sofra & mutfak/sofra/kase,coconut products,0,1,0.9516337869163762,probability,0.25
TERM_b9c62c4e,ITEM_5c470f5a0931,keçeli kalem,jumbo maxi süper yıkanabilir keçeli kalem 10 renk ( p-5426 ),kırtasiye & ofis malzemeleri/kalem/keçeli kalem,fixpoint,0,1,0.9508154938683925,probability,0.18181818181818182
TERM_c618017b,ITEM_877bf2568333,925 ayar gümüş küpe,gümüş 925 ayar 12 mm düz halka model küpe,aksesuar/takı & mücevher/küpe/gümüş küpe,so chic...,0,1,0.9504892691136131,probability,0.4444444444444444
TERM_3883c9e9,ITEM_c0238d3372a4,shaka çanta,kahverengi/vizon/siyah shk253 suni deri el kol ve omuz 3'lü çanta seti (shk108-u23-shk60),aksesuar/çanta/omuz çantası,shaka,0,1,0.949729329731173,probability,0.06666666666666667
TERM_7741903f,ITEM_fceed894e747,elektrikli battaniye,lüks çift kişilik elektrikli battaniye (120x150),ev & mobilya/ev/ev tekstili/yatak odası tekstili/battaniye/elektrikli battaniye,meltem,0,1,0.9494696285206081,probability,0.3333333333333333
TERM_7eec95a7,ITEM_d4e8ffe9ebb1,dekordan house yapay çiçek,yapay islak dokulu 10 çiçekli singapur orkide (75cm),ev & mobilya/ev/ev dekorasyon/yapay & kuru çiçek,dekordan house,0,1,0.948583891815325,probability,0.09090909090909091
TERM_2da80c60,ITEM_fc4221df3b54,hindistan cevizi kase,elephant design sedef kaplama hindistan cevizi kase & hasır altlığı - coconut kase - çerezlik,ev & mobilya/ev/sofra & mutfak/sofra/kase,coconut products,0,1,0.9485477922824256,probability,0.23076923076923078
TERM_1020a6c7,ITEM_e268fc4e234a,keskin color defter,"hisli şeyler ""bağlanamiyorum"" spiralli sert kapak 50 yaprak çizgili defter 16x15 / c9",kırtasiye & ofis malzemeleri/kırtasiye kağıt ürünleri/takvim,keskin color,0,1,0.9479294225327617,probability,0.07142857142857142
TERM_d15331c7,ITEM_5d3bc04b8ffe,nishane parfüm,anı 100 ml extrait unisex parfüm,kozmetik & kişisel bakım/parfüm ve deodorant/parfüm,nishane,0,1,0.9469623161124299,probability,0.14285714285714285
TERM_b9c62c4e,ITEM_b2eacc6d8d4c,keçeli kalem,betterfine fineliner ince uç keçeli renkli boya kalem mandala 0.4 mm 24'lü metal kutu,kırtasiye & ofis malzemeleri/kalem/keçeli kalem,andofis,0,1,0.9468541218289211,probability,0.14285714285714285
TERM_75a9ca94,ITEM_b1079a548655,lego oyuncak,"® dc batman™: batman tumbler, two-face™ ve joker™’e karşı 76303 - 8+ oyuncak yapım seti (429p)",anne & bebek & çocuk/oyuncak/lego & yapı oyuncakları,lego,0,1,0.9462608953897758,probability,0.058823529411764705
TERM_7b1dcfb3,ITEM_c9da06e6f87b,spiderman,interaktıf dev türkçe konuşan spiderman,hobi & eğlence/parti malzemeleri/doğum günü süsü,spiderman,0,1,0.9439342959628535,probability,0.2
TERM_67c7c6e5,ITEM_d5656f71ddb2,play doh oyun hamuru,oyun hamuru 6 ' lı ve oyun hamuru kalıbı seti hediyeli 15 parça,anne & bebek & çocuk/oyuncak/oyun hamuru,play doh,0,1,0.9436816701157403,probability,0.15384615384615385
TERM_44992c7c,ITEM_d79f2ee9411c,kadın kahverengi bot,pablo kadın lastikli hakiki deri topuklu bot kahverengi,ayakkabı/bot & çizme/bot & bootie,parponi,0,1,0.9431175981107629,probability,0.375
TERM_191288dc,ITEM_62589dc49fe2,sma devam sütü,800 gr 2 numara optipro devam sütü 2'li,süpermarket/anne ve bebek bakım/bebek beslenme ve emzirme/bebek maması/devam sütü,sma,0,1,0.9429151210740061,probability,0.2222222222222222
TERM_afd3beec,ITEM_2040ac8c3ee7,caudalie tonik,leke karşıtı gözenek sıkılaştırıcı aha bha c vitamini tonik | glikolik asit salisilik asit | 200ml,kozmetik & kişisel bakım/cilt bakım/yüz bakım/tonik,caudalie,0,1,0.9421791626116589,probability,0.07142857142857142
TERM_a2992d0c,ITEM_79b411374634,dekoratif kase,"bal kabağı kase, çorba sunumluk, dekoratif kase",ev & mobilya/ev/ev dekorasyon/dekoratif tabak & kase,orange atelier,0,1,0.9413805826036983,probability,0.2857142857142857
TERM_d36bd8b8,ITEM_ab4313d50621,jerf tayt,"gela yüksek bel, esnek ve toparlayıcı spor tayt lacivert",giyim/spor giyim/spor tayt,jerf,0,1,0.9397626832173341,probability,0.1
TERM_c80bacae,ITEM_23da35c6b790,bebek & çocuk yatak örtüsü,bebek ve çocuk odasi denizci çapa desenli yatak örtüsü,ev & mobilya/ev/ev tekstili/bebek&çocuk ev tekstil/bebek & çocuk yatak örtüsü,mekta home,0,1,0.9392792816718672,probability,0.4
TERM_01aa94e9,ITEM_af75cce495bc,benzinli motosiklet,jüpiter 110 cc scooter benzinli motosiklet kırmızı,otomobil & motosiklet/motosiklet/benzinli motosiklet,yiben,0,1,0.938387909479428,probability,0.2857142857142857
TERM_6d934985,ITEM_34b79042af5b,nem alıcı,elektrikli fanlı çok fonksiyonlu nem alıcı (1 aromatik kokulu +1 kokusuz nem alıcı tablet hediyeli),banyo yapı & hırdavat/hırdavat/nem alıcı,marispacks,0,1,0.9383143209631055,probability,0.15384615384615385
TERM_24ea39b9,ITEM_7a8ada8b41a7,el bilek ateli,mavi basit el bilek ateli (bandi),spor & outdoor/ekipman & aksesuar/el bilek ateli,sema karakoç,0,1,0.9376386447100061,probability,0.5
TERM_e3867f47,ITEM_e30d20597e06,çelik bileklik,kadın çelik kelepçe bilezik,aksesuar/takı & mücevher/bileklik/çelik bileklik,çelik,0,1,0.9375147269317718,probability,0.2
TERM_ce2bd6dc,ITEM_e74e6981d604,çim biçme,hym410p 41 cm 132cc itmeli benzinli çim biçme makinası,bahçe & elektrikli el aletleri/bahçe/bahçe makineleri/çim biçme makinesi,bosch,0,1,0.9366440337132651,probability,0.2222222222222222
TERM_a262287f,ITEM_2458c0381de2,örümcek bebek yürüteç,oyuncaklı direksiyonlu çocuk bebek yürüteç örümcek,anne & bebek & çocuk/çocuk gereçleri/yürüteç,enhoştoys,0,1,0.9358572816960968,probability,0.5
TERM_7abdb561,ITEM_6bdd55f0dd4a,ütü masası kılıfı,ütü masası kılıfı büyük boy ipli stoperli keçeli kılıfı örtüsü bezi 55x140cm carina,ev & mobilya/ev/ev gereçleri/ütü masası ve aksesuarı,devecioğlu,0,1,0.9354320128504926,probability,0.25
TERM_f6c500ce,ITEM_d3c3da12019d,ceviz,yerli kabuklu ceviz 5 kg - atıştırmalık çerez - ceviz içi,süpermarket/gıda & içecek/atıştırmalık/kuruyemiş/ceviz,hicret,0,1,0.9347115782476086,probability,0.1111111111111111
TERM_e68f49bd,ITEM_5ea92276314d,yan sehpa,lack yan sehpa beyaz 55x55cm,ev & mobilya/mobilya/salon & oturma odası/sehpa/yan sehpa,alpaevmobilya,0,1,0.9340564248793853,probability,0.4
TERM_3c63d25b,ITEM_bf08b21329e6,kadın büyük beden ceket,büyük beden belden bağcıklı cepli siyah ceket,giyim/büyük beden/büyük beden ceket,metpoint,0,1,0.9321358117266163,probability,0.375
TERM_17ad2232,ITEM_699fcaa7c94c,özdilek tek kişilik nevresim takımı,flor nev tek kişilik nevresim takımı - sarı,ev & mobilya/ev/ev tekstili/yatak odası tekstili/nevresim takımı/tek kişilik nevresim,özdilek,0,1,0.9308537185484709,probability,0.4444444444444444
TERM_e1e9bd90,ITEM_819c626fcf17,gebelik testi,gebelik testi 15 adet (gizli paketleme),süpermarket/sağlık/cinsel sağlık/gebelik testi,laboquick,0,1,0.930760388871289,probability,0.3333333333333333
TERM_ebde0c75,ITEM_1d83ef27df69,mobilya kulpu,midye antik sarı 96 mm kulp lüks country mutfak mobilya dolap çekmece kulpu,banyo yapı & hırdavat/hırdavat/mobilya kulpu,koçsan,0,1,0.9302256300320931,probability,0.15384615384615385
TERM_01aa94e9,ITEM_88a59f32c9af,benzinli motosiklet,yb50 cg benzinli motosiklet 125cc yükseltme kiti hediyeli,otomobil & motosiklet/motosiklet/benzinli motosiklet,volta,0,1,0.9296324610255702,probability,0.25
TERM_66267615,ITEM_a74c1b73ca82,ikea mum,"büyük boy sütün mum silikon kalıp - silindir sütün mum kalıbı, büyük boy sütün mum kalıbı 20 x 7 cm",ev & mobilya/ev/ev dekorasyon/mum & kandil,ikea,0,1,0.9289843040278005,probability,0.06666666666666667
TERM_7a883bf3,ITEM_37948a3a1730,salomon outdoor ayakkabı,terrex gore-tex çocuk mavi outdoor ayakkabı ji1358,ayakkabı/spor ayakkabı/outdoor ayakkabı,salomon,0,1,0.9287027833122915,probability,0.25
TERM_e5462f1c,ITEM_0097f2287b0c,cenk yazma,düz renk 100 cm poşetli yazma - 0301 - 622-,giyim/tesettür giyim/eşarp,cenk,0,1,0.9285806157536631,probability,0.1
TERM_76e600ed,ITEM_b32b586f7f6d,dell,multımedya klavye kb-216 q türkçe,elektronik/bilgisayar grubu/bilgisayarlar/dizüstü bilgisayarlar/dizüstü bilgisayar,dell,0,1,0.9285695470646985,probability,0.0
TERM_48423276,ITEM_fcc594bf347f,dündar erkek çorap,erkek 12'li dikissiz bambu patik çorap koku yapmaz,giyim/iç giyim/çorap,dündar,0,1,0.9268978922900369,probability,0.2222222222222222
TERM_3c63d25b,ITEM_7b1b9787a766,kadın büyük beden ceket,büyük beden uzun gold düğmeli kırmızı renk blazer ceket,giyim/büyük beden/büyük beden ceket,by alba collection,0,1,0.9267755676093029,probability,0.3
TERM_ac296f8b,ITEM_ee002438cb91,scl tunik,10002511211029 scl günlük tunik,giyim/üst giyim/bluz & tunik/tunik,scl,0,1,0.9255181553676749,probability,0.5
TERM_d4ae34e0,ITEM_9274d0f87541,kapaklı plastik bardak,300 cc plastik pet limonata milkshake bardağı 10 adet kapaklı ve pipetli,hobi & eğlence/parti malzemeleri/plastik bardak,ecoflex,0,1,0.9253459826488412,probability,0.15384615384615385
TERM_573ff4b9,ITEM_81157e6dc3c8,merrell kadın,speed eco kadın koşu ayakkabısı-j037172,ayakkabı/spor ayakkabı/outdoor ayakkabı,merrell,0,1,0.924402509305475,probability,0.16666666666666666
TERM_1187170a,ITEM_8038086e8e01,kablolu mouse,3d kablolu 1000 dpı ev ofis optik mouse fare c-17,elektronik/elektronik aksesuarlar/bilgisayar aksesuarları/çevre birimleri/mouse,trio,0,1,0.9236521684867097,probability,0.2
TERM_1c9546db,ITEM_4caf2e84d010,araç içi ön ve arka kamera,"ön 2k qhd + arka 1k hd araç içi kamera sony lens| 170° açı, gece görüşü, gps, wi-fi, 256gb destek",otomobil & motosiklet/oto ses görüntü sistemleri/araç içi kamera,aopi,0,1,0.9235770165558459,probability,0.23809523809523808
TERM_408cd773,ITEM_2415aca31f95,takma takma takma tırnak & aksesuarı,m beden 10'lu bordo kısa balerin tt1337 tekrar kullanılabilir protez takma tırnak,kozmetik & kişisel bakım/makyaj/tırnak/takma tırnak & aksesuarı,takma takma,0,1,0.9234372461497492,probability,0.14285714285714285
TERM_30f9d91d,ITEM_d567dfd822d7,police,polıce police splf69 0k07 55 g güneş gözlüğü,aksesuar/gözlük/güneş gözlüğü,police,0,1,0.9230840408799189,probability,0.125
TERM_31534def,ITEM_c5e73ddaa547,ranza,alaçatı kaydıraklı yavru yataklı ranza,ev & mobilya/mobilya/bebek & çocuk odası mobilyası/ranza,bebetu mobilya,0,1,0.9226006006646451,probability,0.2
