term_id,item_id,query,title,category,brand,true_label,prediction,score,score_type,lexical_overlap,hardness
TERM_8460893b,ITEM_c0398e3e2890,kişisel gelişim psikoloji,oyun terapisi - - virginia m. axline kitabı,kitap/kişisel gelişim & psikoloji/bireysel gelişim,panama yayıncılık,0,1,0.5000069566470261,probability,0.0,6.95664702610177e-06
TERM_956ec369,ITEM_50297e2af47a,basket potası,üflemeli uçan toplu basket potası çocuk oyuncak 10' lu,anne & bebek & çocuk/oyuncak/eğitici oyuncak,captain frederic,1,1,0.5001148958202084,probability,0.2222222222222222,0.00011489582020840494
TERM_61fbd883,ITEM_3c231f50a405,erkek gözlük,bh 1016 39m unisex güneş gözlüğü,aksesuar/gözlük/güneş gözlüğü,by harmony,1,0,0.49985893374134277,probability,0.0,0.00014106625865722977
TERM_6150dd7b,ITEM_ef45a4f7fec7,takma tırnak,beyaz s/d studıo takma tırnak renkli,kozmetik & kişisel bakım/makyaj/tırnak/takma tırnak & aksesuarı,superdrug,1,0,0.49985171980947296,probability,0.2857142857142857,0.00014828019052703922
TERM_e76e2d99,ITEM_9ae78d3aa13c,broş,bronz renk zirkon taşlı buket elmas montür broş,aksesuar/diğer aksesuar/broş,esra pamir,0,0,0.49982024479956677,probability,0.125,0.00017975520043322923
TERM_e76e2d99,ITEM_50c31a1af6a3,broş,zirkon taşlı incili pembe gül broş,aksesuar/diğer aksesuar/broş,esra pamir,1,1,0.5002021812197712,probability,0.16666666666666666,0.00020218121977122472
TERM_72de3db7,ITEM_ac61c43f946f,w collection erkek gömlek,koyu mavi uzun kollu dokulu gömlek,giyim/üst giyim/gömlek,w collection,1,0,0.4997190946121885,probability,0.1111111111111111,0.0002809053878115031
TERM_09321fbb,ITEM_3cc861f17ed5,dudak nemlendirici,dudak balmı-10gr,kozmetik & kişisel bakım/cilt bakım/dudak kremi ve peelingi,beautural safi sabun,1,0,0.49970657605976204,probability,0.3333333333333333,0.0002934239402379579
TERM_fcbca72a,ITEM_556ef7b9c34e,shot şişesi,6’lı 50 ml siyah kilit kapaklı cam zencefil shot şişesi söz nişan hediyelik kolonya şişesi c1-1-149,ev & mobilya/ev/sofra & mutfak/mutfak saklama ve düzenleme/kavanoz,digithome,1,0,0.4995987312287709,probability,0.13333333333333333,0.00040126877122909077
TERM_3cb064b9,ITEM_6afe4754347c,tesettür ferace,parçalı mevlana ferace siyah ss2362,giyim/tesettür giyim/kap & ferace,senstil,1,0,0.49955756213739916,probability,0.16666666666666666,0.00044243786260084184
TERM_90380516,ITEM_9b4cf586ffc2,avene,mousse nettoyante cilt temizleme köpüğü 2x150ml set,kozmetik & kişisel bakım/cilt bakım/yüz bakım/yüz kremi,avene,0,0,0.4994342037204982,probability,0.0,0.0005657962795018179
TERM_02cf7894,ITEM_4f149917b997,kız bebek ayakkabısı,%100 kuzu derisi içi kürklü unisex bebek patik / kız erkek kışlık bebek ayakkabı bot panduf,ayakkabı/ev terliği & botu/patik,baharda nova,1,1,0.5005832230326194,probability,0.13333333333333333,0.0005832230326193732
TERM_8f3a5a5a,ITEM_183c028908a7,kadın tesettür gömlek,kadın düğmeli vual gömlek  küf yeşil,giyim/tesettür giyim/tesettür gömlek,locco,1,0,0.4993959822786061,probability,0.2857142857142857,0.0006040177213939013
TERM_825a8db7,ITEM_5c1f94fafcf4,guess erkek cüzdan,mito geldbörse rfid schutz led 12 cm,aksesuar/çanta/cüzdan,guess,1,1,0.5006228014987538,probability,0.0,0.0006228014987538222
TERM_53c9e249,ITEM_aa34c79a4c7b,tava seti,toprak güveç tava kremit içi doğal sırlı (27x12 cm) oval kayık sunum seti (2 li set),ev & mobilya/ev/sofra & mutfak/pişirme/tencere yedek parça ve aksesuar,herşeytopraktan,0,0,0.49912678005673994,probability,0.125,0.0008732199432600618
TERM_59fb4c1f,ITEM_5ff380b43e16,puset örtüsü,puset örtüsü %100 pamuklu müslin kumaş ünicorn desenli,anne & bebek & çocuk/çocuk gereçleri/oto koltuğu ve aksesuarları/oto koltuğu aksesuarı,paris in paris,1,1,0.5009456107663998,probability,0.25,0.0009456107663997626
TERM_dc6cb227,ITEM_5b93fda61ff9,kapı önü süsü,3d kedi kapı süsü hallowen dekorasyon ürünü,ev & mobilya/ev/ev dekorasyon/kapı süsü,mya design jewerly,1,1,0.5009663461100238,probability,0.25,0.0009663461100237747
