term_id,item_id,query,title,category,brand,label,first_stage_score,final_ranking_score,rank_before,rank_after
TERM_208401be,ITEM_6304299aa42b,mudo hırka,parlak kadife kırmızı kumaş döşemelik kumaş (likrasız & astarlı),hobi & eğlence/hobi malzemeleri/kumaş,enesar home,0,0.04421720888298403,-2.2462747,11,11
TERM_208401be,ITEM_87eae6454108,mudo hırka,yıldızlar ve kirpik baskılı zebra perde | çocuk odası için şık ve eğlenceli perde,ev & mobilya/mobilya/perde/stor perde,mas,0,0.07229799270819653,-2.1826227,10,9
TERM_208401be,ITEM_18bb833e2740,mudo hırka,"perge model, beyaz üstü siyah renk,iç ölçü 76 cm dış ölçü 80 cm petek kaplama, dresuar",ev & mobilya/mobilya/antre & hol/dresuar,bagax,0,0.16388961236300462,-2.2239351,7,10
TERM_208401be,ITEM_3528650f12fc,mudo hırka,bisiklet yaka ajurlu hirka,giyim/üst giyim/kazak & hırka/hırka,mudo,1,0.6023896867002837,0.83955747,2,1
TERM_208401be,ITEM_7e79846e0ba3,mudo hırka,çizgili dik yaka yünlü hirka,giyim/üst giyim/kazak & hırka/hırka,mudo,1,0.6204142072942445,0.67197585,1,3
TERM_208401be,ITEM_c44239ebd0b8,mudo hırka,cep detayli triko hirka,giyim/üst giyim/kazak & hırka/hırka,mudo,1,0.5884919909911841,0.8157314,3,2
TERM_208401be,ITEM_b7b95ca8c254,mudo hırka,barbie doğum günü elbisesi,giyim/elbise,anne kız tasarım,0,0.11581387598232303,-1.431126,9,5
TERM_208401be,ITEM_0460c7ff9219,mudo hırka,28524 rahat taban cilt erkek halısaha kramponu,giyim/üst giyim/sweatshirt,calvin klein,0,0.12169588093641134,-1.7897097,8,7
TERM_208401be,ITEM_6692fb3faaa1,mudo hırka,ormos sıcak tutan soft touch erkek kaşkol atkı,aksesuar/atkı & bere & eldiven/atkı,livio ferri,0,0.01043164510691472,-2.2599838,12,12
TERM_208401be,ITEM_664cb53461e8,mudo hırka,yıkanabilir kaymaz taban salon ve oturma odası halısı yeni  sezon dijital baskı halı,ev & mobilya/mobilya/halı / kilim/halı,allgelsin,0,0.17440173317713445,-1.8066267,6,8
