model,seeds,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high
decision_tree,5,0.7451497636853694,0.020117621028930503,0.7201744424794575,0.7701250848912814,0.6082179926680368,0.06172104605965013,0.5315934778564763,0.6848425074795973,0.6679393601933148,0.03553779280714904,0.6238204363388834,0.7120582840477462,0.7225589442190343,0.029151376753105175,0.6863685319950269,0.7587493564430418,0.9088659525254197,0.024128587578459287,0.8789111569683113,0.938820748082528
extra_trees,5,0.773572511726486,0.02037073330991449,0.7482829604975686,0.7988620629554034,0.5939533686652437,0.0686126480484919,0.5087731715964668,0.6791335657340206,0.6693604906013755,0.035832801458350404,0.624875323849154,0.713845657353597,0.7740667621245731,0.013409217940314817,0.7574196881639974,0.7907138360851489,0.9338810955964606,0.005296870175402837,0.927305216976098,0.9404569742168232
hist_gradient_boosting,5,0.6807702228421415,0.015327494263023175,0.661741676079566,0.699798769604717,0.8453188337904137,0.01713195917951265,0.8240501070965573,0.8665875604842701,0.7539353454936674,0.006348968414321167,0.7460533237950864,0.7618173671922484,0.756656950745651,0.01763163459048321,0.734767894547141,0.778546006944161,0.9296973254305355,0.007141617767492033,0.920831257349401,0.9385633935116701
linear_svc,5,0.7636889626253618,0.020839597813143325,0.7378173325535559,0.7895605926971677,0.5549643002572322,0.050917583306962506,0.49175190569569827,0.6181766948187661,0.6412096272571922,0.029957012697667335,0.6040190462527145,0.6784002082616699,0.7448491092194114,0.015247484840102566,0.7259198913503501,0.7637783270884727,0.9217971726748366,0.009875573975193563,0.9095369938113164,0.9340573515383569
logistic,5,0.7621970635486663,0.010593450680873978,0.7490456659230058,0.7753484611743269,0.5279170660618764,0.05949786319138781,0.45405255483893525,0.6017815772848175,0.62200539679571,0.038018469233503584,0.5748068001277266,0.6692039934636934,0.7413420593242058,0.01774023203111092,0.7193181832104625,0.7633659354379492,0.920012234977239,0.008356982870136918,0.9096373337305249,0.9303871362239532
random_forest,5,0.7386095470778536,0.0206657381547854,0.7129537576765721,0.7642653364791352,0.7051855698260392,0.04428985514610641,0.6502012674154015,0.7601698722366769,0.7204172818760933,0.016780777471381382,0.6995845349608404,0.7412500287913463,0.7704184081643284,0.012893678086536572,0.7544113588579623,0.7864254574706945,0.9338410025923689,0.00417059861084615,0.9286633506335702,0.9390186545511676
sgd_log_loss,5,0.593595760127937,0.13725732357794673,0.4231956049956157,0.7639959152602583,0.48147380093845704,0.22487362234070182,0.20230108262254132,0.7606465192543728,0.48285140890570527,0.06787980905593434,0.3985810057536654,0.5671218120577451,0.405753959418046,0.03598022532554454,0.3610857711032205,0.4504221477328715,0.6750601006378574,0.02771502598388323,0.6406528675369724,0.7094673337387424
sgd_modified_huber,5,0.6056629071915749,0.08538179848762735,0.49966439776044747,0.7116614166227023,0.452929189220116,0.14483225671868996,0.27312502016232576,0.6327333582779062,0.501113224787483,0.07769913768265224,0.4046524694001558,0.5975739801748101,0.4007296101488234,0.043723564256557074,0.34644833802403,0.4550108822736168,0.6751795006146306,0.0489418463580707,0.6144199142079974,0.7359390870212639
tuned_logistic,5,0.7592811305566753,0.01715750410176359,0.7379806907374211,0.7805815703759296,0.5246402300386589,0.06974859280294746,0.43804979738219,0.6112306626951278,0.6176326613789295,0.04739456094661525,0.5587939755645058,0.6764713471933531,0.7372241253622325,0.02004207966372896,0.7123425861128216,0.7621056646116433,0.9159180679537939,0.014786344218196435,0.8975613399997499,0.934274795907838
xgb_classifier,5,0.683334759036742,0.014253594626061496,0.665639421023723,0.701030097049761,0.817770157462756,0.02509856093959688,0.7866111739839868,0.8489291409415253,0.744152784422974,0.0031358216955874965,0.7402597717263366,0.7480457971196113,0.7539139651635518,0.009899217707901784,0.7416244334347974,0.7662034968923062,0.9285513425223721,0.004800957207901125,0.9225911224650037,0.9345115625797406
