model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std
decision_tree,0.7451497636853694,0.020117621028930485,0.6082179926680368,0.061721046059650134,0.6679393601933148,0.03553779280714903,0.7225589442190342,0.029151376753105182,0.9088659525254197,0.024128587578459277
extra_trees,0.773572511726486,0.02037073330991449,0.5939533686652437,0.0686126480484919,0.6693604906013755,0.0358328014583504,0.7740667621245731,0.013409217940314815,0.9338810955964606,0.005296870175402764
hist_gradient_boosting,0.6807702228421415,0.01532749426302316,0.8453188337904137,0.017131959179512657,0.7539353454936674,0.006348968414321162,0.756656950745651,0.017631634590483208,0.9296973254305355,0.0071416177674920355
linear_svc,0.7636889626253618,0.02083959781314332,0.5549643002572322,0.05091758330696248,0.6412096272571922,0.02995701269766732,0.7448491092194114,0.015247484840102566,0.9217971726748366,0.009875573975193626
logistic,0.7621970635486665,0.010593450680873973,0.5279170660618764,0.05949786319138782,0.62200539679571,0.038018469233503605,0.7413420593242058,0.01774023203111091,0.920012234977239,0.008356982870136991
random_forest,0.7386095470778536,0.020665738154785392,0.7051855698260391,0.04428985514610641,0.7204172818760933,0.01678077747138137,0.7704184081643284,0.012893678086536568,0.9338410025923689,0.004170598610846083
sgd_log_loss,0.5935957601279369,0.1372573235779467,0.48147380093845704,0.2248736223407018,0.48285140890570527,0.06787980905593431,0.405753959418046,0.035980225325544526,0.6750601006378574,0.027715025983883253
sgd_modified_huber,0.6056629071915749,0.08538179848762736,0.452929189220116,0.14483225671868993,0.501113224787483,0.07769913768265224,0.4007296101488234,0.04372356425655706,0.6751795006146306,0.04894184635807074
tuned_logistic,0.7592811305566753,0.01715750410176357,0.5246402300386589,0.06974859280294744,0.6176326613789295,0.04739456094661524,0.7372241253622325,0.020042079663728965,0.9159180679537942,0.014786344218196417
xgb_classifier,0.6833347590367421,0.01425359462606147,0.817770157462756,0.025098560939596903,0.744152784422974,0.0031358216955875142,0.7539139651635518,0.009899217707901786,0.9285513425223721,0.004800957207901131
