model,ndcg@10_mean,ndcg@10_std,mrr_mean,mrr_std,recall@10_mean,recall@10_std
hard_negative_enriched,0.8662480863221027,0.016999138723559265,0.9001920634920634,0.027586881698084993,0.7761732276952434,0.013298472653785762
hard_negative_original,0.869344990304049,0.01483765815953479,0.8963212121212122,0.01465963079422389,0.777673056465486,0.019078305422741106
hard_negative_weighted,0.8681607627407459,0.018357709599073825,0.8991031746031746,0.01897166901581545,0.7775788536259366,0.017673957676627775
hard_negative_weighted_enriched,0.8642658947987467,0.016008929006461912,0.8981828738512949,0.020862208669464755,0.7741073727601735,0.017729925849609102
leakage_safe_lexical_baseline,0.8710411545919827,0.014498729923320538,0.9059247863247863,0.01266817672118251,0.7764588551202392,0.01756989222695248
persisted_v1_reference,0.8746300530276867,0.016860325211870104,0.9087222222222222,0.019588356329812456,0.7772387704224728,0.01782051977505048
random_forest,0.8640152572177181,0.018901532695059696,0.9035803825803826,0.014659015805730213,0.7753303642763312,0.01694600315653716
rank_map,0.868412446585389,0.01817223811764642,0.9053285381285381,0.01782180762947161,0.7775035387738312,0.015855132533444522
rank_ndcg_mean,0.8646948677165474,0.01936168855469075,0.8979889233954452,0.02120375469584803,0.7771662103237473,0.014861723419839209
rank_ndcg_topk,0.8635720346738396,0.024348475247477474,0.899601554001554,0.024089628461604083,0.7740786496588165,0.01787146775627207
rank_pairwise,0.8683821856087462,0.014596244783340326,0.9034619047619048,0.017255299228756495,0.7784112339245981,0.01449392994936948
