item_id,title,category,brand,searchable_text,normalized_title,title_missing,brand_missing,category_missing
ITEM_000219bab7df,5700 cius 12 kişilik 84 parça çatal kaşık bıçak takımı 500.01.01.7593,ev & mobilya/ev/sofra & mutfak/sofra/çatal & bıçak & kaşık,jumbo,5700 cius 12 kişilik 84 parça çatal kaşık bıçak takımı 500 01 01 7593 ev mobilya ev sofra mutfak sofra çatal bıçak kaşık jumbo unknown unknown materyal paslanmaz çelik parça sayısı 84 renk gümüş kişi sayısı 12 kişilik ürün tipi bıçak seti menşei tr garanti süresi garantisiz bakım talimatları gıda temas ürünün kullanım ömrünü korumak için ürüne özel bakım talimatlarını takip ediniz,5700 cius 12 kişilik 84 parça çatal kaşık bıçak takımı 500 01 01 7593,False,False,False
ITEM_00039db18145,çiçek desenli pierre cardin ipek krep saten eşarp,giyim/tesettür giyim/eşarp,pierre cardin,çiçek desenli pierre cardin ipek krep saten eşarp giyim tesettür giyim eşarp pierre cardin unknown yetişkin materyal saten boyut ebat 90 x 90 renk mor dokuma tipi saten ek özellik saten desen çiçekli ortam casual günlük materyal bileşeni 100 ipek yıkama talimatı elde yikama kumaş tipi dokuma sürdürülebilirlik detayı hayır paket içeriği 90 menşei ,çiçek desenli pierre cardin ipek krep saten eşarp,False,False,False
ITEM_0003e6defef9,kadın gömlek detaylı elbise - 12658elb - damson,giyim/elbise,puane,kadın gömlek detaylı elbise - 12658elb - damson giyim elbise puane kadın yetişkin kumaş tipi örme materyal pamuklu kol tipi uzun kol desen düz renk mor kalıp regular yaka tipi gömlek yaka kol boyu uzun cep cepsiz astar durumu astarsız boy uzun siluet gömlek elbise ortam günlük dokuma tipi düz dokuma kemer kuşak durumu ke,kadın gömlek detaylı elbise - 12658elb - damson,False,False,False
ITEM_0004a4273923,exclusive 50 cm x 10 metre balonlu ambalaj naylonu pat pat havalı naylon balonlu naylon,banyo yapı & hırdavat/hırdavat/kutu ve ambalaj malzemesi,bk dijital malzemeci e-ticaret malzemecin,exclusive 50cm x 10 metre balonlu ambalaj naylonu pat pat havalı naylon balonlu naylon banyo yapı hırdavat hırdavat kutu ve ambalaj malzemesi bk dijital malzemeci e-ticaret malzemecin unknown unknown renk şeffaf ölçü 1 x 50 ürün tipi patpat,exclusive 50cm x 10 metre balonlu ambalaj naylonu pat pat havalı naylon balonlu naylon,False,False,False
ITEM_00065c6bb377,midnight çift kişilik battaniye mavi,ev & mobilya/ev/ev tekstili/yatak odası tekstili/battaniye/çift kişilik battaniye,taç,midnight çift kişilik battaniye mavi ev mobilya ev ev tekstili yatak odası tekstili battaniye çift kişilik battaniye taç unknown unknown materyal polyester boyut ebat 220 x 240 renk mavi ağırlık 2kg ve üzeri desen düz özellik solmaya dayanıklı materyal bileşeni polyester yıkama talimatı 30 derece paket içeriği 1 li menşei tr color detail mavi,midnight çift kişilik battaniye mavi,False,False,False
ITEM_0006a5f08bd6,yüksekliği ayarlanabilir seramik kaseli ahşap standli mama ve su kabi,süpermarket/pet shop/evcil hayvan ürünleri/kedi ve köpek mama su kabı,hural ahşap dekorasyon,yüksekliği ayarlanabilir seramik kaseli ahşap standli mama ve su kabi süpermarket pet shop evcil hayvan ürünleri kedi ve köpek mama su kabı hural ahşap dekorasyon unknown unknown materyal seramik renk çok renkli hacim 300ml özellik manuel menşei tr bakım talimatları genel nemli bir bezle silin color detail bambu desen beyaz kaseli,yüksekliği ayarlanabilir seramik kaseli ahşap standli mama ve su kabi,False,False,False
ITEM_00078777fa54,noynoy kolej ceketli 3 lü takim,giyim/bebek giyim/bebek takımı,noynoy baby,noynoy kolej ceketli 3 lü takim giyim bebek giyim bebek takımı noynoy baby unisex bebek çocuk materyal pamuklu desen düz renk pembe yaka tipi ceket yaka yıkama talimatı type 1 kumaş tipi dokuma boy regular kalıp kloş paça tipi lastikli paça kol boyu uzun kol tipi uzun kol sürdürülebilirlik detayı organik ortam günlük menşei tr color,noynoy kolej ceketli 3 lü takim,False,False,False
ITEM_0008f2adda66,comfort puffy peluş halı gri,ev & mobilya/mobilya/halı / kilim/halı,saraz hali,comfort puffy peluş halı gri ev mobilya mobilya halı kilim halı saraz hali unknown unknown özellik kaymaz taban materyal akrilik tema stil klasik renk gri üretim şekli makine halısı taban dot şekil dikdörtgen hav yüksekliği ince 6mm altı kullanım alanı salon oturma odası saçak tipi düz saçak menşei tr color detail gri,comfort puffy peluş halı gri,False,False,False
ITEM_0009d24abb68,"french press lüx 350 ml. borasilikat cam, bitki çayı, kahve demliği",ev & mobilya/ev/sofra & mutfak/çay ve kahve demleme/demlik,pak home,french press lüx 350ml borasilikat cam bitki çayı kahve demliği ev mobilya ev sofra mutfak çay ve kahve demleme demlik pak home unknown unknown materyal cam hacim 350ml bakım talimatları gıda temas ürünün kullanım ömrünü korumak için ürüne özel bakım talimatlarını takip ediniz,french press lüx 350ml borasilikat cam bitki çayı kahve demliği,False,False,False
ITEM_0009d6559d90,organik solucan gübresi 1 kg,bahçe & elektrikli el aletleri/bahçe/çiçek & bitki yetiştirme/gübre,iyibahçe,organik solucan gübresi 1kg bahçe elektrikli el aletleri bahçe çiçek bitki yetiştirme gübre iyibahçe unknown unknown ağırlık 0 - 1kg gübre çeşidi toz gübre,organik solucan gübresi 1kg,False,False,False
