seed,candidate,baseline,metric,delta,ci_low,ci_high,improved,unchanged,worsened
42,semantic_e5_small,tfidf_combined_enriched,recall@50,-0.08971568811555003,-0.142078957997507,-0.04086770840439416,28,70,52
42,semantic_e5_small,tfidf_combined_enriched,recall@100,-0.10404557618577864,-0.1507633154332772,-0.06289129284299595,18,78,54
42,semantic_e5_small,tfidf_combined_enriched,ndcg@10,-0.08658704489344594,-0.14425066692648447,-0.03002431606257253,43,23,84
42,semantic_e5_small,tfidf_combined_enriched,mrr,-0.07147047790439681,-0.15120839597798538,0.005719481467554103,36,62,52
42,hybrid_weighted,tfidf_combined_enriched,recall@50,0.03130718590491783,0.01082340964440057,0.058529180165327106,23,118,9
42,hybrid_weighted,tfidf_combined_enriched,recall@100,-0.0020370370370370373,-0.005740740740740741,0.0,0,148,2
42,hybrid_weighted,tfidf_combined_enriched,ndcg@10,0.011323538374400553,-0.01291241038289166,0.03094255674986716,48,78,24
42,hybrid_weighted,tfidf_combined_enriched,mrr,0.031038819883950422,0.0004989416520663376,0.0596251508704225,31,113,6
42,hybrid_rrf,tfidf_combined_enriched,recall@50,0.02884816032836491,0.00886665400027007,0.05178255885272755,31,103,16
42,hybrid_rrf,tfidf_combined_enriched,recall@100,0.0076006315559996075,-0.009666737429733674,0.025636042778516024,17,117,16
42,hybrid_rrf,tfidf_combined_enriched,ndcg@10,0.008672325893531058,-0.025297888329896066,0.04223723988195071,63,34,53
42,hybrid_rrf,tfidf_combined_enriched,mrr,0.010754698979479602,-0.0450133067846759,0.06013727927937691,39,80,31
42,hybrid_candidate_union,tfidf_combined_enriched,recall@50,-0.017339555057243744,-0.05546675057385686,0.019837564913383097,27,89,34
42,hybrid_candidate_union,tfidf_combined_enriched,recall@100,-0.050844091399986566,-0.08404260822745434,-0.02000584615104959,19,89,42
42,hybrid_candidate_union,tfidf_combined_enriched,ndcg@10,0.0092028904628587,-0.018821394157910894,0.03354677971960245,56,57,37
42,hybrid_candidate_union,tfidf_combined_enriched,mrr,0.03163725170336603,-0.0013969675164102603,0.06342694557933201,32,108,10
52,semantic_e5_small,tfidf_combined_enriched,recall@50,-0.08339088128229537,-0.1316688112006853,-0.038860078962899565,18,74,58
52,semantic_e5_small,tfidf_combined_enriched,recall@100,-0.08547068059281339,-0.12863864979424702,-0.045704152530789494,12,84,54
52,semantic_e5_small,tfidf_combined_enriched,ndcg@10,-0.09325507935317308,-0.15076205963988315,-0.03734796616772921,40,24,86
52,semantic_e5_small,tfidf_combined_enriched,mrr,-0.09077748709575435,-0.15568386742334311,-0.029793222967067757,28,74,48
52,hybrid_weighted,tfidf_combined_enriched,recall@50,0.017515258208706683,0.0016526119685700811,0.03890092886890132,21,116,13
52,hybrid_weighted,tfidf_combined_enriched,recall@100,0.00837962962962963,-0.0003703703703703705,0.023017361111111106,3,146,1
52,hybrid_weighted,tfidf_combined_enriched,ndcg@10,0.011919278428069042,-0.004494455332074773,0.029006726499904465,38,89,23
52,hybrid_weighted,tfidf_combined_enriched,mrr,0.009513175764213889,-0.008192509683293653,0.028963143676882113,20,122,8
52,hybrid_rrf,tfidf_combined_enriched,recall@50,0.028501678702703124,0.002093004116884782,0.056733873375735315,26,103,21
52,hybrid_rrf,tfidf_combined_enriched,recall@100,0.01591312237575067,-0.004494250435258863,0.03876749592379581,15,119,16
52,hybrid_rrf,tfidf_combined_enriched,ndcg@10,0.011199914070714105,-0.022999588530030146,0.0459755213890031,55,41,54
52,hybrid_rrf,tfidf_combined_enriched,mrr,0.006969913021427543,-0.03682853975558165,0.050574059632888774,30,99,21
52,hybrid_candidate_union,tfidf_combined_enriched,recall@50,0.0040095917664420624,-0.029903360022081656,0.039165985135514274,24,92,34
52,hybrid_candidate_union,tfidf_combined_enriched,recall@100,-0.03212114152944207,-0.06365992112035554,-0.0005554052764258123,11,97,42
52,hybrid_candidate_union,tfidf_combined_enriched,ndcg@10,0.01635808655233385,-0.009790654197869866,0.042317896486268186,56,69,25
52,hybrid_candidate_union,tfidf_combined_enriched,mrr,0.024242302756033476,-0.005813841082526921,0.05664226493504832,26,113,11
62,semantic_e5_small,tfidf_combined_enriched,recall@50,-0.08491115199604597,-0.1322848245298196,-0.03428672344708233,16,77,57
62,semantic_e5_small,tfidf_combined_enriched,recall@100,-0.08856563849934104,-0.13564162793686593,-0.03879287111365273,15,84,51
62,semantic_e5_small,tfidf_combined_enriched,ndcg@10,-0.04559018622871153,-0.10124739281485945,0.00921936061835521,52,21,77
62,semantic_e5_small,tfidf_combined_enriched,mrr,-0.006176775615951939,-0.08151400983053611,0.06868753143982512,41,60,49
62,hybrid_weighted,tfidf_combined_enriched,recall@50,0.010190574843397474,-0.0035768786438442933,0.026854111954295896,23,113,14
62,hybrid_weighted,tfidf_combined_enriched,recall@100,0.0,0.0,0.0,0,150,0
62,hybrid_weighted,tfidf_combined_enriched,ndcg@10,0.011320320609808794,-0.009384614931776432,0.02939589537066172,40,91,19
62,hybrid_weighted,tfidf_combined_enriched,mrr,0.022951154309999125,0.0009160957606894457,0.04534218287271621,24,122,4
62,hybrid_rrf,tfidf_combined_enriched,recall@50,-0.010641024409813519,-0.04371465788299565,0.023627991191930476,20,104,26
62,hybrid_rrf,tfidf_combined_enriched,recall@100,0.014675379685915084,-0.006516739739956156,0.040007101745685114,16,117,17
62,hybrid_rrf,tfidf_combined_enriched,ndcg@10,0.027422807307433197,-0.004747929152925235,0.058362460533047396,65,34,51
62,hybrid_rrf,tfidf_combined_enriched,mrr,0.048005050961113134,-0.004839176411543391,0.10467297453530923,42,81,27
62,hybrid_candidate_union,tfidf_combined_enriched,recall@50,-0.04304712411202015,-0.08005410088367938,-0.005181316927953103,22,96,32
