method,metric,delta_mean,delta_std,delta_ci95_low,delta_ci95_high,improved,unchanged,worsened
hybrid_candidate_union,mrr,0.029099273571803204,0.005911365282212849,0.021760520819853645,0.036438026323752766,141,562,47
hybrid_candidate_union,ndcg@10,0.013659702282972206,0.006990640654967362,0.004981066993946777,0.022338337571997637,275,329,146
hybrid_candidate_union,recall@100,-0.04756575724831687,0.013397748256806143,-0.06419859199893095,-0.030932922497702783,76,470,204
hybrid_candidate_union,recall@50,-0.02547574003875902,0.019369476543151333,-0.049522266094692916,-0.0014292139828251255,118,460,172
hybrid_rrf,mrr,0.02666562871290066,0.018453996116929598,0.00375563951039155,0.049575617915409764,185,433,132
hybrid_rrf,ndcg@10,0.014782639358012106,0.010396640146493729,0.0018755751108254174,0.027689703605198797,308,191,251
hybrid_rrf,recall@100,0.014258084540748294,0.005431647578808136,0.007514884499204475,0.021001284582292112,79,595,76
hybrid_rrf,recall@50,0.014153227658313606,0.01638452624214325,-0.006187587247969327,0.03449404256459654,128,521,101
hybrid_weighted,mrr,0.021806701968697807,0.009019340646862524,0.010609506763708686,0.03300389717368693,122,595,33
hybrid_weighted,ndcg@10,0.012146678222043858,0.0017233581396182542,0.010007189510734892,0.014286166933352825,215,424,111
hybrid_weighted,recall@100,0.0005172944189923837,0.0045717224569676255,-0.005158338731808516,0.006192927569793284,11,720,19
hybrid_weighted,recall@50,0.012606665229053413,0.012987312735395986,-0.003516628211144625,0.028729958669251453,102,582,66
semantic_e5_small,mrr,-0.053277595219934984,0.03565422578476241,-0.09754106653406222,-0.009014123905807747,174,333,243
semantic_e5_small,ndcg@10,-0.07581266792064525,0.018338600492837177,-0.09857939750148637,-0.05304593833980415,230,125,395
semantic_e5_small,recall@100,-0.09031618454335687,0.019674292394436865,-0.1147411287921557,-0.06589124029455803,78,413,259
semantic_e5_small,recall@50,-0.09209131186748351,0.01311989526331745,-0.10837920186789951,-0.07580342186706751,104,369,277
