term_id,retrieval_mode,item_id,retrieval_rank,retrieval_score,v1_probability
TERM_e6dc43bb,tfidf,ITEM_0e665bafe6ed,1,0.48975844668591717,0.8894601023395952
TERM_e6dc43bb,tfidf,ITEM_6e525f7f8c6d,2,0.4843869982253748,0.9333139619106949
TERM_e6dc43bb,tfidf,ITEM_243b6b361fed,3,0.48431333302970025,0.9061077561703309
TERM_e6dc43bb,tfidf,ITEM_0a2457bce9ad,4,0.47086569231795544,0.8631620757119067
TERM_e6dc43bb,tfidf,ITEM_6fabf9d2f78a,5,0.4660347462501818,0.9539235714538857
TERM_e6dc43bb,tfidf,ITEM_acfc33f71458,6,0.4621971086271144,0.8062577809692606
TERM_e6dc43bb,tfidf,ITEM_c24085353ad0,7,0.446116736981755,0.866357957283761
TERM_e6dc43bb,tfidf,ITEM_6c6c2483e183,8,0.44267450672438213,0.9176306487107045
TERM_e6dc43bb,tfidf,ITEM_498f7c89ead5,9,0.4418327071827842,0.8661551372226007
TERM_e6dc43bb,tfidf,ITEM_d2cef4307629,10,0.4320981904391143,0.7591290799802444
TERM_e6dc43bb,tfidf,ITEM_2325ec55f557,11,0.43016803466013426,0.8323959103887336
TERM_e6dc43bb,tfidf,ITEM_e57d0e54cc88,12,0.4289647748765303,0.8171833260095508
TERM_e6dc43bb,tfidf,ITEM_9da828bbb289,13,0.42470071564134926,0.8735532767429959
TERM_e6dc43bb,tfidf,ITEM_4bd74f51245d,14,0.4233886695305584,0.8825241003686868
TERM_e6dc43bb,tfidf,ITEM_935b438d90e1,15,0.4175198315211547,0.7872163116027032
TERM_e6dc43bb,tfidf,ITEM_4b4b3550c738,16,0.4170231569173186,0.8582644937730084
TERM_e6dc43bb,tfidf,ITEM_804da98ad90e,17,0.41604297340573404,0.9546161072049819
TERM_e6dc43bb,tfidf,ITEM_2b8e17f688f6,18,0.4083829906583579,0.798309622468452
TERM_e6dc43bb,tfidf,ITEM_fbe0d45dea64,19,0.4075396790999238,0.8522041859091054
TERM_e6dc43bb,tfidf,ITEM_4b302cc238f5,20,0.40745195059430417,0.8457781790873816
TERM_e6dc43bb,tfidf,ITEM_042071ab6743,21,0.4064859109522787,0.7327099555200688
TERM_e6dc43bb,tfidf,ITEM_04f60a515e36,22,0.3962661571666509,0.5536237798293722
TERM_e6dc43bb,tfidf,ITEM_7d4380b9210f,23,0.39565631104731197,0.3722059398479457
TERM_e6dc43bb,tfidf,ITEM_6f483d195f29,24,0.3956366154512262,0.8309772592811951
TERM_e6dc43bb,tfidf,ITEM_082469958620,25,0.3869099886971612,0.8147787343101517
TERM_e6dc43bb,tfidf,ITEM_05b61b9c50ba,26,0.3863715511699395,0.7596988758017962
TERM_e6dc43bb,tfidf,ITEM_5ad02c3673be,27,0.38547905157018736,0.7253652662384215
TERM_e6dc43bb,tfidf,ITEM_9247a721cca3,28,0.3849282511956598,0.6556310237994101
TERM_e6dc43bb,tfidf,ITEM_f00afdc87e41,29,0.3841073435741318,0.7230808323968599
TERM_e6dc43bb,tfidf,ITEM_a68c70e5a171,30,0.3840773926218471,0.5731420361016798
TERM_e6dc43bb,tfidf,ITEM_9a1f9f78caa3,31,0.3824477761219312,0.7275007790984762
TERM_e6dc43bb,tfidf,ITEM_628b0f2ec4da,32,0.38187409608485556,0.5460741897322773
TERM_e6dc43bb,tfidf,ITEM_46aa04af1fe8,33,0.3803144090159112,0.6220185938065899
TERM_e6dc43bb,tfidf,ITEM_4b45b7f12722,34,0.37206157272597207,0.5676802612080037
TERM_e6dc43bb,tfidf,ITEM_07f5db25f9b6,35,0.36787439178665027,0.7634347031852012
TERM_e6dc43bb,tfidf,ITEM_34050c2fb856,36,0.36724195069258064,0.7577328937569315
TERM_e6dc43bb,tfidf,ITEM_3a500ce0a9ba,37,0.36706805610838344,0.7283005729724398
TERM_e6dc43bb,tfidf,ITEM_fdf42976210a,38,0.3668468898003704,0.3879171886503952
TERM_e6dc43bb,tfidf,ITEM_6d07cf89c27a,39,0.366411849069516,0.7807389750504724
TERM_e6dc43bb,tfidf,ITEM_6c3bf62ff4eb,40,0.36591156834947325,0.7698547914489813
TERM_e6dc43bb,tfidf,ITEM_8fcdac9c0554,41,0.36542422601782476,0.5829736649358864
TERM_e6dc43bb,tfidf,ITEM_7d58161b8ffa,42,0.364767648767472,0.6821710489586589
TERM_e6dc43bb,tfidf,ITEM_6841a73a18cc,43,0.3616882312092119,0.7328455543352071
TERM_e6dc43bb,tfidf,ITEM_e55731747bef,44,0.36153475540563795,0.7103145684109071
TERM_e6dc43bb,tfidf,ITEM_ccec2ede5ceb,45,0.3579087192911503,0.05756532019575215
TERM_e6dc43bb,tfidf,ITEM_5b94d93b98db,46,0.3574735877584596,0.5679795434124135
TERM_e6dc43bb,tfidf,ITEM_edbcdafa350f,47,0.35678269459926826,0.4777065324700546
TERM_e6dc43bb,tfidf,ITEM_f82ce5d2a3ab,48,0.3550127749029185,0.7559895186240757
TERM_e6dc43bb,tfidf,ITEM_a522db3640a7,49,0.35397420455366435,0.7403617610771008
TERM_e6dc43bb,tfidf,ITEM_7eaff954127f,50,0.3502906649803033,0.5086945681288537
TERM_e6dc43bb,tfidf,ITEM_ee346b9c406c,51,0.34801952494617217,0.5110828170502003
TERM_e6dc43bb,tfidf,ITEM_d099a908d8d7,52,0.34570063396220174,0.6476582192761015
TERM_e6dc43bb,tfidf,ITEM_e754cb5d269a,53,0.3447871899701549,0.21212957783397018
TERM_e6dc43bb,tfidf,ITEM_466fd8cf6292,54,0.3430002780125508,0.45657530618280284
TERM_e6dc43bb,tfidf,ITEM_621060157e12,55,0.34161280109159303,0.41341090328941915
TERM_e6dc43bb,tfidf,ITEM_fd5e16e98e8c,56,0.34059328035819314,0.7687427854081205
TERM_e6dc43bb,tfidf,ITEM_e323f8efb660,57,0.34038777055942804,0.3346302366023174
TERM_e6dc43bb,tfidf,ITEM_b5b46945c8fa,58,0.3375039104067048,0.2836892864661117
TERM_e6dc43bb,tfidf,ITEM_1ce631c9adf3,59,0.3374970768881107,0.7618232545043143
