seed,candidate,baseline,metric,delta,ci_low,ci_high,improved,unchanged,worsened
42,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,recall@50,-0.038969294275090466,-0.06942511425692585,-0.009846635752220232,22,90,38
42,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,ndcg@10,-0.12118618978465939,-0.16498874278186076,-0.07354723455679597,35,22,93
42,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,mrr,-0.13153880665865222,-0.19377480034244934,-0.06414276740604143,24,56,70
52,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,recall@50,-0.045294173235908515,-0.0745708584440662,-0.017073258354035496,20,92,38
52,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,ndcg@10,-0.07511334253080436,-0.119479317632236,-0.030916101773102913,48,24,78
52,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,mrr,-0.07868430731450823,-0.13705601566520695,-0.010190008084621558,31,72,47
62,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,recall@50,-0.009059542268926576,-0.042743359976353465,0.022606336992846802,29,96,25
62,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,ndcg@10,-0.05925022879323502,-0.10388002296609952,-0.015373035222037992,47,20,83
62,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,mrr,-0.03896923175492535,-0.09631233147839748,0.021049378808871224,30,72,48
72,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,recall@50,-0.058120360587245706,-0.09162782503704525,-0.025430508476504264,17,90,43
72,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,ndcg@10,-0.07923410742434144,-0.12688736573879217,-0.03016119935319628,48,23,79
72,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,mrr,-0.06313389302759886,-0.12278791806562807,0.00017569293279438053,33,66,51
82,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,recall@50,-0.03522601707615191,-0.06993601888132797,-0.001641502443746778,19,98,33
82,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,ndcg@10,-0.10347472820423527,-0.14543490047898583,-0.06056722883902077,42,28,80
82,hybrid_rrf+v1_relevance,hybrid_rrf+retrieval_only,mrr,-0.15709985629103465,-0.22232612197355367,-0.09005741910379285,24,65,61
42,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,recall@50,-0.038969294275090466,-0.06942511425692585,-0.009846635752220232,22,90,38
42,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,ndcg@10,-0.12118618978465939,-0.16498874278186076,-0.07354723455679597,35,22,93
42,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,mrr,-0.13153880665865222,-0.19377480034244934,-0.06414276740604143,24,56,70
52,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,recall@50,-0.045294173235908515,-0.0745708584440662,-0.017073258354035496,20,92,38
52,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,ndcg@10,-0.07511334253080436,-0.119479317632236,-0.030916101773102913,48,24,78
52,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,mrr,-0.07868430731450823,-0.13705601566520695,-0.010190008084621558,31,72,47
62,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,recall@50,-0.009059542268926576,-0.042743359976353465,0.022606336992846802,29,96,25
62,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,ndcg@10,-0.05925022879323502,-0.10388002296609952,-0.015373035222037992,47,20,83
62,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,mrr,-0.03896923175492535,-0.09631233147839748,0.021049378808871224,30,72,48
72,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,recall@50,-0.058120360587245706,-0.09162782503704525,-0.025430508476504264,17,90,43
72,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,ndcg@10,-0.07923410742434144,-0.12688736573879217,-0.03016119935319628,48,23,79
72,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,mrr,-0.06313389302759886,-0.12278791806562807,0.00017569293279438053,33,66,51
82,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,recall@50,-0.03522601707615191,-0.06993601888132797,-0.001641502443746778,19,98,33
82,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,ndcg@10,-0.10347472820423527,-0.14543490047898583,-0.06056722883902077,42,28,80
82,hybrid_rrf+experimental_ranker,hybrid_rrf+retrieval_only,mrr,-0.15709985629103465,-0.22232612197355367,-0.09005741910379285,24,65,61
42,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,recall@50,-0.038969294275090466,-0.06942511425692585,-0.009846635752220232,22,90,38
42,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,ndcg@10,-0.12118618978465939,-0.16498874278186076,-0.07354723455679597,35,22,93
42,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,mrr,-0.13153880665865222,-0.19377480034244934,-0.06414276740604143,24,56,70
52,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,recall@50,-0.045294173235908515,-0.0745708584440662,-0.017073258354035496,20,92,38
52,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,ndcg@10,-0.07511334253080436,-0.119479317632236,-0.030916101773102913,48,24,78
52,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,mrr,-0.07868430731450823,-0.13705601566520695,-0.010190008084621558,31,72,47
62,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,recall@50,-0.009059542268926576,-0.042743359976353465,0.022606336992846802,29,96,25
62,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,ndcg@10,-0.05925022879323502,-0.10388002296609952,-0.015373035222037992,47,20,83
62,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,mrr,-0.03896923175492535,-0.09631233147839748,0.021049378808871224,30,72,48
72,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,recall@50,-0.058120360587245706,-0.09162782503704525,-0.025430508476504264,17,90,43
72,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,ndcg@10,-0.07923410742434144,-0.12688736573879217,-0.03016119935319628,48,23,79
72,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,mrr,-0.06313389302759886,-0.12278791806562807,0.00017569293279438053,33,66,51
82,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,recall@50,-0.03522601707615191,-0.06993601888132797,-0.001641502443746778,19,98,33
82,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,ndcg@10,-0.10347472820423527,-0.14543490047898583,-0.06056722883902077,42,28,80
82,hybrid_rrf+blended_policy,hybrid_rrf+retrieval_only,mrr,-0.15709985629103465,-0.22232612197355367,-0.09005741910379285,24,65,61
